Article_Name,Link,About,Skills
Blockchain in Gaming,https://medium.com/darkbyte-newfinance/blockchain-in-gaming-520d19a4295a?source=topic_page---------4------------------1----------,I love playing video games growing up. I used to sneak off from my bed at midnight to play pokemon until 3 AM in primary school. Pokemon…,blockchain
More on the Security Against Fee Sniping in RSK,https://medium.com/iovlabs-innovation-stories/more-on-the-security-against-fee-sniping-in-rsk-602a59591d7f?source=topic_page---------5------------------1----------,In a previous article we discussed different fee sniping attacks and we analyzed how they could impact RSK. In this article we dig deeper…,blockchain
How to send decentralized push notifications?,https://medium.com/geekculture/how-to-send-decentralized-push-notifications-d851ae0a95ea?source=topic_page---------6------------------1----------,Using NodeJS & Ethereum Blockchain,blockchain
PAID Network is now live on BSC — Convert your $PAID ERC20 into BEP20!,https://paidnetwork.medium.com/paid-network-is-now-live-on-bsc-convert-your-paid-erc20-into-bep20-1658cdee98d2?source=topic_page---------7------------------1----------,"PAID Network is now integrated and live on the Binance Smart Chain, bringing the full power of BSC to all PAID products.",blockchain
Create a Slack Bot for Bitcoin Price Updates Using GCP Cloud Functions,https://betterprogramming.pub/create-a-slack-bot-for-bitcoin-price-updates-using-gcp-cloud-functions-a672fc34287c?source=topic_page---------8------------------1----------,Build your own bot in less than 15 minutes,blockchain
Battle of The Blockchains,https://bettermarketing.pub/battle-of-the-blockchains-1d943ed7dd42?source=topic_page---------9------------------1----------,"The best blockchain may not win, but the first blockchain to market to the masses might.",blockchain
Red States and Blue States vs Crypto,https://alexisgoldstein.medium.com/red-states-and-blue-states-vs-crypto-ec0320a685d1?source=topic_page---------10------------------1----------,"Bipartisan language in the infrastructure bill clarifies tax reporting responsibilities for crypto market actors, while the bipartisan…",blockchain
Can a blockchain be decentralized on the cloud?,https://levelup.gitconnected.com/can-a-blockchain-be-decentralized-on-the-cloud-807959af28ef?source=topic_page---------11------------------1----------,"Many cloud providers such as AWS, Azure, GCP and IBM are providing “Blockchain as a Service” or BaaS, but…. does it contribute to the…",blockchain
Why a Simple Payments App is Integral to the Success of Terra’s Blockchain,https://adam-cheshier.medium.com/why-a-simple-payments-app-is-integral-to-the-success-of-terras-blockchain-a68524199b39?source=topic_page---------12------------------1----------,How CHAI is leading Terra to the moon.,blockchain
Build a Decentralized Ticket Exchange Using the Flow Blockchain,https://betterprogramming.pub/build-a-decentralized-ticket-exchange-using-the-flow-blockchain-ed0eaf7745d0?source=topic_page---------14------------------1----------,Adding utility to NFTs using Dapper Labs’ promising new platform,blockchain
Project Watch: This Week’s Look At The Projects Building A Decentralized World,https://paidnetwork.medium.com/project-watch-this-weeks-look-at-the-projects-building-a-decentralized-world-b34d5367a0a6?source=topic_page---------15------------------1----------,"The potential of blockchain goes far beyond its ability to store wealth. At PAID Network, we believe in a vision where blockchain provides…",blockchain
Cryptocurrency: The Future of Finance,https://medium.com/geekculture/cryptocurrency-the-future-of-finance-11bece1f988c?source=topic_page---------16------------------1----------,"Since the invention of Bitcoin in 2009, it has caught the attention of people and interest has developed over time as it has now caught…",blockchain
Current status of data security and the need for blockchain technology,https://medium.com/@MINENetwork/current-status-of-data-security-and-the-need-for-blockchain-technology-a4f2ecad9133?source=topic_page---------17------------------1----------,Status of management and security of personal data,blockchain
Blockchain and Cryptocurrencies Quickly Replacing the Legacy SWIFT Financial System,https://medium.com/cryptocurrencies-ups-and-down/blockchain-and-cryptocurrencies-quickly-replacing-the-legacy-swift-financial-system-5d7b01e86a52?source=topic_page---------18------------------1----------,"In our traditional and centralized financial system, SWIFT operates a world-class financial telegraphic network through which banks and…",blockchain
Thoughts on NFT Marketing (and Why It’s Easier for Generative and/or Larger Sets / Collections),https://medium.com/web-design-web-developer-magazine/thoughts-on-nft-marketing-and-why-its-easier-for-generative-and-or-larger-sets-collections-73e4f80f903b?source=topic_page---------19------------------1----------,"If you’ve been following my writings on Non-Fungible Tokens (NFTs), and especially generative NFT programming, you’ll be familiar already…",blockchain
Uniswap Pulls Tokenized Stocks & Derivatives Following Regulatory Warnings,https://alexisgoldstein.medium.com/following-regulatory-warnings-uniswap-pulls-tokenized-stocks-derivatives-57281d15231e?source=topic_page---------20------------------1----------,“We’ll go after the person that’s essentially operating an unlicensed exchange”: CFTC Commissioner Dan Berkovitz,blockchain
How to create a permanent uncensorable message on the Ethereum blockchain,https://levelup.gitconnected.com/how-to-create-a-permanent-uncensorable-message-on-the-ethereum-blockchain-afd1ad23fa5e?source=topic_page---------21------------------1----------,"From wedding proposals to political messages, people have been writing uncensorable messages all over the Ethereum blockchain. Learn how to…",blockchain
"Blockchain Technology; Definition, and How It Works",https://medium.com/geekculture/blockchain-technology-definition-and-how-it-works-369f9b1efe1a?source=topic_page---------22------------------1----------,The blockchain is a digital network or an array of codes put together to form a secure platform that helps to keep track of digital assets…,blockchain
Build a Complete Environment to Secure Smart-contracts Development,https://betterprogramming.pub/build-a-complete-environment-to-secure-smart-contracts-development-50c1531f32ce?source=topic_page---------23------------------1----------,Prepare a solid foundation for your protocol development,blockchain
The Top 3 Books to Read if you actually Want to Understand Blockchain,https://medium.com/geekculture/the-top-3-books-to-read-if-you-actually-want-to-understand-blockchain-784ddcf759f7?source=topic_page---------24------------------1----------,"More tech, less hype",blockchain
"Introducing, The Sushi Next Generation AMM: Trident",https://medium.com/sushiswap-org/introducing-the-sushi-next-generation-amm-trident-7dea6aa3cbc2?source=topic_page---------25------------------1----------,"Welcome to the new “not just a fork” Sushi AMM, Trident, because who needs a fork when you have a Trident?",blockchain
Retroactive Public Goods Funding,https://medium.com/ethereum-optimism/retroactive-public-goods-funding-33c9b7d00f0c?source=topic_page---------26------------------1----------,"Note: The Optimism team has long been in search of a solution on how to sustainably fund public goods, and we now have the structure of our…",blockchain
How Cardano Plan To Reach 1B Users 2021 Goals,https://medium.com/coinmonks/how-cardano-plan-to-reach-1b-users-2021-goals-11eaee5b20d?source=topic_page---------27------------------1----------,Cardano is a protocol with a goal to reach one billion users. With many companies independent developers involved. Cardano Foundation is…,blockchain
Creating an Ethereum Token to Enable a Decentralized Rent-to-Own Network,https://towardsdatascience.com/creating-an-ethereum-token-to-enable-a-decentralized-rent-to-own-network-cc3786cf1142?source=topic_page---------28------------------1----------,The most sustainable applications of cryptocurrencies involve re-thinking how we establish trust in everyday relationships.,blockchain
The future of payments: Programmable payments for the Internet-of-Things (IoT),https://philippsandner.medium.com/the-future-of-payments-programmable-payments-for-the-internet-of-things-iot-d4905e3959e7?source=topic_page---------30------------------1----------,"Digitization is taking hold of entire industries, including in Germany. The area of the “Internet of Things (IoT)”, in particular, promises…",blockchain
How To Mine the Blockchain in Java,https://betterprogramming.pub/how-to-mine-the-blockchain-in-java-9647de36a8fc?source=topic_page---------31------------------1----------,A Java implementation for users and miners,blockchain
How can Blockchain Technology Reach Mass Adoption?,https://medium.com/geekculture/how-can-blockchain-technology-reach-mass-adoption-1d004d116dc?source=topic_page---------32------------------1----------,And why blockchain is just a financial arcade,blockchain
Audit and the Importance of Security in the Cryptocurrency Ecosystem,https://medium.com/codex/audit-and-the-importance-of-security-in-the-cryptocurrency-ecosystem-806a0953e47c?source=topic_page---------33------------------1----------,One of the advantages of having a computer auditor to support the audit of annual accounts is because he/she has the opportunity to visit…,blockchain
The Best DeFi Tools,https://medium.com/stakingbits/the-best-defi-tools-4e1d218f5488?source=topic_page---------34------------------1----------,What are some of the best DeFi tools that help you understand and keep track of the wider DeFi ecosystem?,blockchain
Cryptocurrency Guide: The Basics of Crypto Trading Analysis,https://medium.com/@johnoladokuno/cryptocurrency-guide-the-basics-of-crypto-trading-analysis-4e25f075b87f?source=topic_page---------0------------------1----------,The cryptocurrency space is one that needs a lot of research or the investor or trader to make a profit. Crypto trading analysis requires…,cryptocurrency
Riding Cardano Trend to $1.6 With Swings to Achieve Maximum Return,https://medium.com/yardcouch-com/riding-cardano-trend-to-1-6-with-swings-to-achieve-maximum-return-f02759a2f28f?source=topic_page---------1------------------1----------,An Overview of My Hybrid Strategy on a Mid-Term Timeframe on a Promising Crypto,cryptocurrency
"Why Billionaire’s Hate Bitcoin (And Other Crypto), But You Shouldn’t",https://themakingofamillionaire.com/why-billionaires-hate-bitcoin-and-other-crypto-but-you-shouldn-t-510498a7f55e?source=topic_page---------2------------------1----------,A revolution in “money”,cryptocurrency
